Title,Genre,Tags,native,Series_or_Movie,Hidden_Gem_Score,Country_Availability,Runtime,IMDb_Score,Boxoffice,IMDb Score
Lets Fight Ghost,Crime,Comedy,Swedish,Series,4.3,Thailand,< 30 minutes,7.9,2122065,205926
HOW TO BUILD A GIRL,Comedy,Dramas,English,Movie,7,Canada,1-2 hour,5.8,70632,2838
Centigrade,Drama,Thrillers,English,Movie,6.4,Canada,1-2 hour,4.3,16263,1720
The Invisible,Crime,Thriller,English,Movie,2,"Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Iceland",1-2 hour,6.2,20578909,34738
Joker,Crime,Dark,English,Movie,3.5,"Lithuania,Poland,France,Italy,Spain,Greece,Belgium,Portugal,Netherlands,Germany,Iceland,Czech Republic",1-2 hour,8.4,335451311,951938
I,Action,Dramas,English,Movie,2.8,"Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Iceland",1-2 hour,6.5,474544677,733336
Harrys Daughters,Adventure,Dramas,English,Movie,4.4,"Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Switzerland,United Kingdom,Iceland",1-2 hour,8.1,381409310,766594
Comrades: Almost a Love Story,Drama,Romantic,Cantonese,Movie,6.7,South Korea,1-2 hour,8.1,17676,5047
The Closet,Comedy,Korean,French,Movie,3.8,South Korea,1-2 hour,7,6678894,16657
The Mysterians,Action,Sci-Fi,Japanese,Movie,7.1,Japan,1-2 hour,6.2,975000,1383
Trial by Fire,Biography,Films,English,Movie,6.2,United Kingdom,> 2 hrs,6.9,148504,3657
Framing John DeLorean,Documentary,Biographical,English,Movie,8,Poland,1-2 hour,6.5,145625,1398
Alice,Comedy,TV,English,Series,3.5,"Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,South Africa,Sweden,Thailand,Netherlands,Germany,Singapore,Turkey,Romania,Israel,United Kingdom,Australia,India,Russia,Iceland,Switzerland",< 30 minutes,6.6,7331647,13379
Lobster Cop,Comedy,Dark,Mandarin,Movie,7.5,South Korea,1-2 hour,5.1,85693,143
Ordinary People,Drama,Korean,English,Movie,4.2,South Korea,1-2 hour,7.7,54766923,47265
Paths of the Soul,Drama,Chinese,Tibetan,Movie,8.9,South Korea,1-2 hour,7.5,31747,738
Rebel in the Rye,Biography,Movies,English,Movie,3.1,South Korea,1-2 hour,6.7,378294,8472
The Return,Drama,Korean,Russian,Movie,4.1,South Korea,1-2 hour,8,504256,42530
Stand by Me,Adventure,Korean,English,Movie,4.1,South Korea,1-2 hour,8.1,52287414,364302
Wonderstruck,Adventure,Children,English,Movie,3.6,South Korea,1-2 hour,6.2,1060377,9533
Keys To The Heart,Comedy,Korean,Korean,Movie,8.4,South Korea,> 2 hrs,7.5,75134,825
Intimate Strangers,Drama,Korean,French,Movie,6.4,South Korea,1-2 hour,7,2110589,4813
Gonjiam: Haunted Asylum,Horror,Korean,Korean,Movie,6.3,South Korea,1-2 hour,6.3,115252,5195
Extreme Job,Action,Dark,Korean,Movie,5.4,South Korea,1-2 hour,7.1,1565885,6757
Default,Drama,Social,Korean,Movie,8.1,South Korea,1-2 hour,6.6,203775,1007
The Accidental Detective 2: In Action,Comedy,Korean,Korean,Movie,8.2,South Korea,1-2 hour,6.5,179045,513
Enter the Fat Dragon,Action,Action,Cantonese,Movie,7.2,South Korea,1-2 hour,5.7,46855,1351
The Girl on the Train,Crime,Bollywood,English,Movie,2.6,"Lithuania,Poland,France,Iceland,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Canada,Hungary,Mexico,Slovakia,Sweden,South Africa,Netherlands,Germany,Thailand,Turkey,Singapore,Romania,Israel,Australia,Switzerland,Brazil,United Kingdom,India,Malaysia,Hong Kong,Colombia,Japan,South Korea,United States,Russia,Argentina",> 2 hrs,6.5,75395035,169614
Ride Your Wave,Animation,Sci-Fi,Japanese,Movie,7.9,Japan,1-2 hour,6.8,332432,1601
A Call to Spy,Biography,Military,English,Movie,7.4,United Kingdom,> 2 hrs,6.3,159014,1684
Red,Action,Dramas,English,Movie,3.4,"Canada,Mexico,South Africa,Thailand,Singapore,Turkey,Israel,Australia,Brazil,Malaysia,India,Colombia,Hong Kong,Japan,United States,Russia,Argentina",> 2 hrs,7,90380162,290548
Burden,Drama,Movies,English,Movie,7.8,Netherlands,1-2 hour,6.6,139270,1814
Love,Drama,Psychological,English,Movie,2.5,"Canada,Mexico,South Africa,Thailand,Singapore,Turkey,Argentina,Israel,Australia,Brazil,Malaysia,Colombia,India,Hong Kong,Japan,United States,Russia",1-2 hour,6.1,249083,48843
Corpus Christi,Drama,Dramas,Polish,Movie,3.9,South Korea,1-2 hour,7.7,127240,13208
The Shadow,Action,Action,English,Movie,2.4,Brazil,1-2 hour,6.1,32063435,23422
Unhinged,Action,Thrillers,English,Movie,2.5,Canada,1-2 hour,6.1,20831465,34208
Repo Man,Action,Comedies,English,Movie,4.2,"Lithuania,Poland,Czech Republic,Hungary,Slovakia,Romania",1-2 hour,6.9,129000,33965
For Love of the Game,Drama,Romantic,English,Movie,2.6,"Lithuania,Poland,Czech Republic,Hungary,Slovakia,Romania,Mexico,Argentina,Colombia",> 2 hrs,6.6,35188640,31879
The Crew,Comedy,TV,English,Series,4.7,"Lithuania,Poland,France,Iceland,Italy,Spain,Greece,Czech Republic,Belgium,Canada,Portugal,Mexico,Hungary,Slovakia,South Africa,Sweden,Netherlands,Thailand,Germany,Singapore,Turkey,Argentina,Romania,Israel,Switzerland,Australia,United Kingdom,Brazil,Malaysia,Colombia,Hong Kong,Japan,South Korea,United States,Russia,India",< 30 minutes,5.7,13023075,4473
The Replacement Killers,Action,Action,English,Movie,2.3,South Africa,1-2 hour,6.2,19204929,26994
Story of Women,Drama,Dramas,French,Movie,7,France,1-2 hour,7.5,438483,3928
The Flower of Evil,Drama,Dramas,French,Movie,6.8,France,1-2 hour,6.5,182163,2966
The Swindle,Comedy,Comedies,French,Movie,7.3,France,1-2 hour,6.5,250899,2177
Madame Bovary,Drama,Romantic,English,Movie,3.7,France,> 2 hrs,5.7,44235,7708
The Photograph,Drama,Romantic,English,Movie,6.1,South Korea,1-2 hour,6,20578185,3853
SUMMER 03,Drama,Teen,French,Movie,5.7,South Korea,1-2 hour,7.7,43839,7183
Weathering with You,Animation,Drama,Japanese,Movie,3.7,South Korea,1-2 hour,7.5,7798743,23305
Monster Hunt 2,Adventure,Action,Mandarin,Movie,7.2,Singapore,1-2 hour,5.4,706153,1399
News of the World,Action,Dramas,English,Movie,3.5,"Lithuania,Poland,France,Iceland,Italy,Spain,Czech Republic,Belgium,Portugal,Mexico,Hungary,South Africa,Slovakia,Sweden,Thailand,Netherlands,Germany,Singapore,Turkey,Romania,Argentina,Israel,Australia,Switzerland,United Kingdom,Brazil,Malaysia,India,Colombia,Hong Kong,South Korea,Russia,Greece,Japan",1-2 hour,6.9,11433050,30581
Mr. & Mrs. Incredible,Action,Action,English,Movie,3,"Singapore,Malaysia",1-2 hour,6.5,186336279,451482
Dont be the First one,Action,Reality,Hindi,Series,3.8,South Korea,< 30 minutes,7.2,2223961,34427
Malcolm & Marie,Comedy,Dramas,English,Movie,7.9,"Lithuania,Poland,France,Iceland,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Canada,Mexico,Hungary,Slovakia,South Africa,Sweden,Thailand,Netherlands,Australia,Germany,Singapore,Turkey,Brazil,India,Argentina,Hong Kong,Israel,Japan,Switzerland,United Kingdom,South Korea,United States,Malaysia,Russia,Colombia,Romania",1-2 hour,7.2,544472,1936
Step,Documentary,Dramas,English,Movie,8.7,Japan,1-2 hour,6.8,1146292,844
Ill Always Know What You Did Last Summer,Action,Horror,English,Movie,2.8,"Thailand,Singapore,India,Hong Kong",1-2 hour,6.5,474544677,733336
The House That Jack Built,Crime,Crime,English,Movie,2.8,Germany,> 2 hrs,6.8,258106,59945
Sonic the Hedgehog,Action,Children,English,Movie,2.9,"Russia,Japan",1-2 hour,6.5,148974665,89305
Touch Me Not,Drama,Dramas,English,Movie,6.9,Romania,> 2 hrs,5.9,13782,2311
The Hunt,Drama,Action,Danish,Movie,4.2,South Korea,1-2 hour,8.3,613308,282998
I Still Believe,Biography,Movies,English,Movie,3.6,Netherlands,1-2 hour,6.5,9868521,8079
Dragon,Action,Sci-Fi,Mandarin,Movie,3.6,Russia,1-2 hour,7.1,11137,13870
Cut Throat City,Action,Social,English,Movie,7.1,"United States,Canada",> 2 hrs,4.9,855894,1584
Im Home,Action,Mystery,English,Series,2.8,"Thailand,Singapore,Malaysia,Hong Kong",< 30 minutes,6.5,474544677,733336
come away,Adventure,Children,English,Movie,6.2,"Belgium,Netherlands",1-2 hour,5.9,184477,2549
Affliction,Drama,Horror,English,Movie,4,"Thailand,Singapore,Malaysia",1-2 hour,7,6330054,15218
"So Im a Spider, So What?",Comedy,Action,English,Series,2.8,Japan,< 30 minutes,6.4,11585483,33496
Nowhere to Run,Action,Action,English,Movie,2.2,Israel,1-2 hour,5.7,22189039,21801
The Big Ugly,Drama,Dramas,English,Movie,5.8,Canada,1-2 hour,6.1,514107,4024
Wish You,Drama,Romantic,English,Movie,5.6,"Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,South Africa,Portugal,Thailand,Hungary,Slovakia,Sweden,Israel,Netherlands,Australia,Switzerland,Germany,United Kingdom,Turkey,India,Malaysia,Hong Kong,Japan,South Korea,Russia,Iceland,Canada,Mexico,Singapore,Argentina,Brazil,United States,Colombia,Romania",1-2 hour,5.9,46347,5228
Taipei Story,Drama,Chinese,Min,Movie,8.3,South Korea,1-2 hour,7.7,12897,2183
Marlina the Murderer in Four Acts,Drama,Dramas,Indonesian,Movie,7.8,Singapore,1-2 hour,7,17788,2545
Sputnik,Drama,Monster,Russian,Movie,3.1,United Kingdom,1-2 hour,6.4,18853,14642
The Bravest,Action,Action,Mandarin,Movie,7.4,"Thailand,Malaysia,Hong Kong,Singapore",1-2 hour,5.6,290217,716
The Tax Collector,Action,Dramas,Spanish,Movie,2.2,Canada,1-2 hour,4.8,1044212,9043
Lupin,Animation,TV,Japanese,Series,4,"Lithuania,Poland,France,Iceland,Italy,Spain,Greece,Canada,Czech Republic,Mexico,Belgium,Portugal,South Africa,Hungary,Thailand,Slovakia,Singapore,Sweden,Argentina,Netherlands,Israel,Australia,Germany,Switzerland,Turkey,Brazil,United Kingdom,India,Malaysia,Hong Kong,Japan,South Korea,United States,Russia,Colombia,Romania",< 30 minutes,7.7,142425,27154
Infamous,Biography,Dramas,English,Movie,3.5,Canada,1-2 hour,7,1151330,16294
The Wolf of Snow Hollow,Comedy,Crime,English,Movie,3.2,Netherlands,1-2 hour,6.2,185026,10406
Hello Brother,Action,Action,Hindi,Movie,5.3,"Canada,Mexico,South Africa,Argentina,Brazil,Turkey,Hong Kong,Japan,Thailand,United States,Singapore,India,Israel,Australia,Malaysia,Russia,Colombia",> 2 hrs,4.7,245034,3837
The Chamber,Crime,Courtroom,English,Movie,1.9,Brazil,1-2 hour,6,14551359,12863
Midnight Family,Documentary,Social,Spanish,Movie,8.5,"Mexico,Argentina,Colombia",1-2 hour,7.4,42310,1412
My Girl,Comedy,TV,English,Series,3,Japan,< 30 minutes,6.9,59489799,72575
Waves,Drama,Dramas,English,Movie,4,"Hong Kong,Thailand,Singapore,Malaysia",> 2 hrs,7.6,1658790,18134
Racetime!,Animation,Children,English,Movie,7.6,Australia,1-2 hour,5.6,1875283,376
Captive State,Action,Sci-Fi,English,Movie,2.6,Sweden,1-2 hour,6,5958315,48880
The Elephant Man,Biography,Movies,English,Movie,4.2,"Belgium,France",> 2 hrs,8.1,26010864,220688
The Things of Life,Drama,Romantic,French,Movie,7.2,"Belgium,France",1-2 hour,7.6,5063,3953
Cesar and Rosalie,Drama,Romantic,French,Movie,8.1,"Belgium,France",1-2 hour,7.4,5063,2595
Teen Spirit,Drama,Teen,English,Movie,4.3,"Czech Republic,Hungary,Slovakia,Romania,South Korea",1-2 hour,6.1,441366,7673
Blues Brothers 2000,Action,Action,English,Movie,2.4,"Poland,Greece,Czech Republic,South Africa,Hungary,Slovakia,Australia,Lithuania,United Kingdom,Romania",> 2 hrs,4.9,14051384,31545
100% Wolf,Animation,Children,English,Movie,7.5,United Kingdom,1-2 hour,5.7,512805,782
Spree,Comedy,Dark,English,Movie,5.1,United Kingdom,1-2 hour,5.9,28771,4739
Saint Frances,Comedy,Dramas,English,Movie,8,United Kingdom,1-2 hour,7.1,44330,2423
HOPE GAP,Drama,Dramas,English,Movie,6.7,United Kingdom,1-2 hour,6.7,104732,2896
BluffMaster!,Comedy,Bollywood,Hindi,Movie,5.7,"Canada,Mexico,South Africa,Thailand,Singapore,Argentina,Israel,Australia,Turkey,Brazil,India,Malaysia,Hong Kong,Japan,United States,Russia,Colombia",> 2 hrs,6.6,718956,5796
Apaharan,Action,Bollywood,Hindi,Movie,6.6,"Canada,Mexico,South Africa,Thailand,Singapore,Argentina,Israel,Australia,Turkey,Brazil,India,Malaysia,Hong Kong,Japan,United States,Russia,Colombia",> 2 hrs,7.4,44133,4264
Under the Silver Lake,Crime,Dramas,English,Movie,3.1,Australia,> 2 hrs,6.5,46083,33843
Eclipse,Drama,Romantic,English,Movie,8,Russia,1-2 hour,6.1,86438,180
Lizzie,Biography,Movies,English,Movie,4.9,South Korea,1-2 hour,5.8,642157,6399
Butterfly,Drama,Korean,Spanish,Movie,4.9,South Korea,1-2 hour,7.6,2092682,8277
High Life,Adventure,Sci-Fi,English,Movie,3.6,South Korea,1-2 hour,5.8,1225852,29177
