Player,country,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
V Kohli ,INDIA,76,76,13,4567,160,72.49,4643,98.36,17,24,3,436,49
RG Sharma ,INDIA,73,73,9,4074,208,63.65,4277,95.25,19,14,3,397,127
SD Hope ,WI,73,73,9,3406,170,53.21,4547,74.9,9,19,4,271,47
JE Root ,ENG,68,68,15,3067,133,57.86,3478,88.18,8,18,2,242,17
JM Bairstow ,ENG,61,61,4,3006,141,52.73,2771,108.48,11,12,5,347,82
Babar Azam ,PAK,63,61,10,2991,158,58.64,3382,88.43,11,11,3,278,29
S Dhawan ,INDIA,69,68,5,2940,143,46.66,3007,97.77,8,15,3,392,32
LRPL Taylor ,NZ,55,54,12,2709,181,64.5,3129,86.57,6,19,0,231,26
PR Stirling ,IRE,59,59,1,2696,142,46.48,3251,82.92,7,17,5,276,64
AJ Finch ,AUS,53,53,2,2685,153,52.64,3043,88.23,10,15,4,242,73
EJG Morgan ,ENG,70,68,9,2667,148,45.2,2677,99.62,6,16,4,234,96
JJ Roy ,ENG,62,61,0,2525,180,41.39,2314,109.11,6,15,6,295,59
Q de Kock ,SA,53,53,1,2477,168,47.63,2557,96.87,5,18,3,289,34
Mushfiqur Rahim ,BAN,59,59,13,2441,144,53.06,2898,84.23,4,17,1,185,31
Tamim Iqbal ,BAN,54,54,5,2387,158,48.71,2970,80.37,7,15,4,237,31
Fakhar Zaman ,PAK,51,51,4,2257,210,48.02,2367,95.35,6,12,5,255,45
F du Plessis ,SA,45,42,8,2153,185,63.32,2341,91.96,6,12,1,206,22
Imam-ul-Haq ,PAK,45,45,4,1981,151,48.31,2451,80.82,7,10,3,156,16
Rahmat Shah ,AFG,57,56,2,1973,114,36.53,2755,71.61,4,14,2,177,24
KS Williamson ,NZ,46,45,4,1953,148,47.63,2533,77.1,4,12,0,165,13
Shakib Al Hasan ,BAN,46,43,5,1907,124,50.18,2221,85.86,3,17,3,177,8
A Balbirnie ,IRE,58,58,4,1906,145,35.29,2450,77.79,7,9,4,189,25
BA Stokes ,ENG,51,45,11,1837,102,54.02,1916,95.87,2,15,0,144,60
DA Warner ,AUS,38,38,2,1818,179,50.5,1901,95.63,7,7,0,192,27
MJ Guptill ,NZ,45,45,4,1732,180,42.24,1922,90.11,5,6,3,167,55
JC Buttler ,ENG,63,54,11,1655,150,38.48,1420,116.54,5,8,6,133,57
MS Dhoni ,INDIA,66,50,16,1654,134,48.64,2035,81.27,1,12,2,120,32
HM Amla ,SA,40,40,4,1588,154,44.11,1873,84.78,4,9,1,160,12
E Lewis ,WI,48,48,3,1583,176,35.17,1962,80.68,3,10,3,157,45
Mahmudullah ,BAN,63,55,14,1560,102,38.04,1898,82.19,1,9,2,102,40
WTS Porterfield ,IRE,48,48,0,1559,139,32.47,2096,74.37,4,6,4,167,12
BKG Mendis ,SL,61,60,2,1557,119,26.84,1924,80.92,1,10,9,138,25
SPD Smith ,AUS,36,35,1,1468,131,43.17,1637,89.67,4,10,1,130,13
GJ Maxwell ,AUS,47,45,4,1467,108,35.78,1173,125.06,1,9,2,133,56
TWM Latham ,NZ,52,46,4,1466,110,34.9,1684,87.05,3,10,5,113,18
SO Hetmyer ,WI,44,44,3,1447,139,35.29,1360,106.39,5,4,2,111,52
MDKJ Perera ,SL,37,36,2,1427,120,41.97,1506,94.75,3,7,2,161,11
BRM Taylor ,ZIM,37,37,0,1426,138,38.54,1661,85.85,3,7,2,145,32
N Dickwella ,SL,46,45,1,1395,116,31.7,1473,94.7,2,8,1,164,11
Sikandar Raza ,ZIM,45,44,9,1378,92,39.37,1563,88.16,0,12,0,111,38
KJ Coetzer ,SCOT,31,31,1,1369,109,45.63,1632,83.88,1,12,1,170,22
AD Mathews ,SL,38,37,9,1343,113,47.96,1716,78.26,2,8,2,121,17
DA Miller ,SA,46,39,12,1329,139,49.22,1351,98.37,2,8,1,89,35
KL Rahul ,INDIA,35,34,4,1313,112,43.76,1455,90.24,4,8,2,99,33
CS MacLeod ,SCOT,33,33,3,1293,157,43.1,1593,81.16,4,6,1,142,13
JO Holder ,WI,66,60,9,1286,99,25.21,1388,92.65,0,8,5,87,40
SC Williams ,ZIM,37,37,6,1274,129,41.09,1492,85.38,3,8,1,127,11
WU Tharanga ,SL,40,40,5,1265,119,36.14,1456,86.88,2,6,2,148,21
CH Gayle ,WI,29,29,0,1255,162,43.27,1154,108.75,3,7,2,90,93
HH Pandya ,INDIA,58,44,7,1241,92,33.54,1055,117.63,0,7,4,90,54
